Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Gare Arcueil - Cachan,48.799824,2.328171,9,26,17,True,5
Raspail - Bac,48.855629,2.32566,30,52,21,True,2
Gare RER de Gentilly,48.81428,2.341035,17,30,13,False,8
Boyer - Ménilmontant,48.868895,2.391982,0,19,0,False,0
Aristide Briand - Place de la Résistance,48.821242,2.2511,36,25,2,True,10
Place Jean Ferrat,48.818495,2.374417,20,25,5,False,12
Villiers de l'Isle Adam - Pyrénées,48.867362,2.396222,5,20,14,False,5
Saint Georges - d'Aumale,48.877786,2.33743,0,23,22,True,0
Stalingrad - Désiré Chevalier,48.856702,2.445072,11,42,31,False,10
Porte d'Ivry,48.821769,2.368871,9,50,40,False,8
Victor Hugo - Ecoles,48.80476,2.418037,18,25,7,True,8
Hôpital Bégin,48.845717,2.427246,17,26,9,True,5
Belleville - Couronnes,48.868831,2.380986,3,50,47,True,2
Charenton - Diderot,48.846171,2.379307,15,18,3,True,2
Stephenson - Doudeauville,48.888537,2.356161,19,36,16,True,9
Jules Ferry - Faubourg du Temple Paris,48.868397,2.367893,17,58,41,True,3
Place de l'Édit de Nantes,48.88879,2.3785,13,30,16,True,5
Anatole France - Louise Michel,48.888732,2.288158,21,50,27,True,10
Temple - Jean-Pierre Timbaud,48.864466,2.36606,5,36,30,False,1
Guynemer - Séverine,48.830917,2.279071,16,26,10,True,5
Jean Macé - Faidherbe,48.853375,2.382862,14,63,49,True,2
Gaston Roussel - Commune de Paris,48.89432,2.432552,13,30,15,True,12
Bienfaisance - Place de Narvik,48.876602,2.312977,7,36,29,False,2
Montgallet - Charenton,48.842648,2.386165,10,16,5,True,3
Place Jacques Madaule,48.823934,2.260692,24,25,0,False,3
Bourse du Travail,48.868977,2.362344,8,17,7,True,6
Jacques Callot - Mazarine,48.85528,2.337574,13,28,15,True,0
Parmentier - Hôpital Saint-Louis,48.87138,2.369896,6,43,35,True,1
Richard Wallace - Place du 8 Mai 1945,48.878668,2.242034,25,30,5,True,18
Faustin Hélie - Desbordes-Valmore,48.859403,2.276522,6,33,22,False,3
Quai aux Fleurs - Pont Saint-Louis,48.852916,2.352196,17,21,2,True,9
Porte de Vincennes,48.846454,2.415514,10,33,21,False,1
Flandre - Riquet,48.888013,2.37376,2,21,19,True,2
Place de la Porte de Châtillon,48.824247,2.318631,14,59,45,True,1
Montreuil - Gonnet,48.850501,2.389086,17,24,6,False,5
Dupleix - du Guesclin,48.851479,2.29671,30,47,15,True,5
Montgallet - Reuilly,48.844291,2.389648,9,16,7,True,1
Varenne,48.857203,2.315277,3,47,44,True,0
Place des Ternes.,48.878439,2.297728,9,46,37,True,3
Ancien Canal - Hélène Brion,48.894848,2.418834,4,23,17,True,1
Departement - Pajol,48.886675,2.361361,17,19,2,False,13
Boulets - Voltaire,48.852187,2.38903,15,24,9,False,5
Fragonard - Porte de Clichy,48.894156,2.314389,30,56,24,False,5
Lacuée - Lyon,48.849268,2.370459,9,16,7,True,3
Jardin d'Acclimatation,48.878772,2.270772,6,33,25,True,4
Gare Montparnasse - René Mouchotte,48.839204,2.320884,11,39,27,True,7
Charles de Gaulle - Jean Lolive,48.893264,2.412677,3,26,21,False,3
Paul Vaillant Couturier - Chaptal,48.89348,2.277525,20,39,17,True,10
Place de la Fraternité,48.857164,2.422847,9,22,13,True,8
Vincent Auriol - Louise Weiss,48.834002,2.370389,12,22,9,False,2
Gare de Laplace,48.808932,2.334946,15,43,28,True,10
Bayen - Pereire,48.881804,2.292109,13,22,8,False,5
Quai de la Loire - Jean Jaurès,48.883397,2.371075,2,16,14,True,2
Gare de Lyon - Roland Barthes,48.843957,2.379088,64,68,3,False,6
Route de Sèvres - Porte de Bagatelle,48.87526,2.249416,16,66,48,True,11
Commandant Rivière,48.872933,2.309796,1,27,26,True,1
Gare de Pont-Cardinet,48.887139,2.314494,8,34,26,True,4
Bordier - Félix Faure,48.903908,2.383006,19,48,26,False,9
Jussieu - Fossés Saint-Bernard,48.847186,2.353486,13,39,24,True,3
Charonne - Avron,48.851603,2.398403,7,27,20,True,2
Félix Faure - Sadi Carnot,48.908121,2.378623,10,33,21,True,7
Square Cambronne,48.847567,2.302569,26,59,32,True,2
Lemercier - Cardinet,48.890097,2.317378,3,24,21,False,3
18 juin 1940 - Buzenval,48.868807,2.185428,5,25,19,False,5
Porte de la Villette,48.898352,2.38615,3,27,23,True,1
Ouest - Château ,48.836173,2.319392,6,23,17,True,5
Place aux Étoiles,48.918356,2.352343,4,40,36,True,3
Flandrin - Henri Martin,48.864328,2.272417,2,18,16,True,2
Alexandre Dumas - Voltaire,48.852889,2.389148,28,59,30,False,10
Jean Colly - Tolbiac,48.827817,2.370549,18,36,18,True,7
Pirogues de Bercy - Libourne,48.832308,2.38637,12,49,37,True,5
Place Jean-Baptiste Clément,48.812405,2.361709,6,25,17,False,6
Verdun - Place Henri IV,48.870797,2.2277,20,26,4,True,16
Picpus - Louis Braille,48.839989,2.400526,20,44,22,True,9
Porte d'Auteuil,48.847939,2.26084,3,33,30,False,2
Sarrette - Général Leclerc,48.825031,2.326413,6,22,15,True,4
Réunion - Avron,48.852567,2.403928,10,26,16,False,6
Bastille - Biscornet,48.851356,2.36922,13,62,48,True,2
Square des Saint-Simoniens,48.87018,2.396727,3,25,22,False,3
Petit - Manin,48.886507,2.393816,3,22,18,True,2
Place des Marseillais,48.826639,2.405928,13,37,24,True,9
Gare Rosny-Bois-Perrier,48.88115,2.480437,22,36,12,True,3
Chanzy - Sud-Est,48.888912,2.195632,10,25,14,False,1
Jussieu - Guy de la Brosse,48.845665,2.355653,7,40,31,False,2
Gabrielle Josserand - Edouard Vaillant,48.902716,2.393327,8,25,17,True,1
Square René Viviani - Montebello,48.851905,2.347842,9,34,24,True,2
Jean Lolive - Parc Stalingrad,48.892062,2.409174,10,22,9,True,8
